root_norm	stem	form_tag	frame_signature	instance_count	sample_refs	object_status_profile	prep_profile	object_root_profile	prep_object_root_profile	surah_count
ت م م	أتم	CV	obj=explicit|prep=إِلَى;إِلَى|clause=no|cognate=no	1	9:4:16	explicit:1	إِلَى:2	ع ه د:1	م د د:1	1
ت م م	أتم	CV	obj=explicit|prep=إِلَى|clause=no|cognate=no	1	2:187:52	explicit:1	إِلَى:1	ص و م:1	ل ي ل:1	1
ت م م	أتم	CV	obj=explicit|prep=لـ|clause=no|cognate=no	1	2:196:2	explicit:1	لـ:1	ح ج ج:1;ع م ر:1	أ ل ه:1	1
ت م م	أتم	PV	obj=clitic|prep=-|clause=no|cognate=no	1	2:124:9	clitic:1				1
ت م م	أتم	PV	obj=clitic|prep=عَلَى;مِن|clause=no|cognate=no	1	12:6:21	clitic:1	عَلَى:1;مِن:1		أ ب و:1;ق ب ل:1	1
ت م م	أتمم	PV	obj=clitic|prep=بـ|clause=no|cognate=no	1	7:142:7	clitic:1	بـ:1		ع ش ر:1	1
ت م م	أتمم	PV	obj=explicit|prep=-|clause=no|cognate=no	1	28:27:16	explicit:1		ع ش ر:1		1
ت م م	أتمم	PV	obj=explicit|prep=عَلَى|clause=no|cognate=no	1	5:3:59	explicit:1	عَلَى:1	ن ع م:1		1
ت م م	تم	IV	obj=explicit|prep=-|clause=no|cognate=no	2	2:233:11;9:32:13	explicit:2		ر ض ع:1;ن و ر:1		2
ت م م	تم	IV	obj=explicit|prep=عَلَى;عَلَى;كـ|clause=no|cognate=no	1	12:6:12	explicit:1	عَلَى:2;كـ:1	ن ع م:1	أ و ل:1	1
ت م م	تم	IV	obj=explicit|prep=عَلَى|clause=no|cognate=no	4	2:150:37;5:6:76;16:81:26;48:2:13	explicit:4	عَلَى:4	ن ع م:4		4
ت م م	تم	PV	obj=none_intransitive|prep=-|clause=no|cognate=no	3	6:115:2;7:142:11;11:119:10	none_intransitive:3				3
ت م م	تم	PV	obj=none_intransitive|prep=عَلَى;بـ|clause=no|cognate=no	1	7:137:15	none_intransitive:1	عَلَى:1;بـ:1		ب ن ي:1	1
ت م م	تمم	CV	obj=explicit|prep=لـ|clause=no|cognate=no	1	66:8:41	explicit:1	لـ:1	ن و ر:1		1
ت و ب	تاب	PV	obj=none_intransitive|prep=-|clause=no|cognate=no	12	2:160:3;4:16:9;4:146:3;9:5:23;9:11:3;11:112:8;19:60:3;20:82:7;25:70:3;25:71:3	none_intransitive:12				9
ت و ب	تاب	PV	obj=none_intransitive|prep=عَلَى;عَلَى|clause=yes|cognate=no	1	9:118:28	none_intransitive:1	عَلَى:2		ث ل ث:1	1
ت و ب	تاب	PV	obj=none_intransitive|prep=عَلَى|clause=no|cognate=no	9	2:37:8;2:54:28;2:187:23;5:71:11;9:117:3;9:117:25;20:122:5;58:13:13;73:20:30	none_intransitive:9	عَلَى:9		ن ب أ:1	6
ت و ب	تاب	PV	obj=none_intransitive|prep=مِن|clause=no|cognate=no	7	3:89:3;5:34:3;5:39:3;6:54:25;7:153:6;16:119:11;24:5:3	none_intransitive:7	مِن:7		ب ع د:6;ق ب ل:1	6
ت و ب	توب	CV	obj=none_intransitive|prep=إِلَى|clause=no|cognate=no	7	2:54:16;11:3:6;11:52:7;11:61:26;11:90:5;24:31:83;66:8:5	none_intransitive:7	إِلَى:7		أ ل ه:2;ب ر أ:1	4
ت و ب	توب	IV	obj=none_intransitive|prep=-|clause=no|cognate=no	4	9:74:35;9:118:31;9:126:14;85:10:9	none_intransitive:4				2
ت و ب	توب	IV	obj=none_intransitive|prep=إِلَى|clause=no|cognate=no	3	5:74:3;25:71:9;66:4:2	none_intransitive:3	إِلَى:3		أ ل ه:3	3
ت و ب	توب	IV	obj=none_intransitive|prep=عَلَى|clause=no|cognate=no	11	2:160:10;3:128:7;4:17:17;4:26:13;4:27:5;5:39:12;9:15:6;9:102:15;9:106:11;33:24:13	none_intransitive:11	عَلَى:11		م ن ن:1;أ م ن:1	6
ت و ب	توب	IV	obj=none_intransitive|prep=مِن;عَلَى|clause=no|cognate=no	1	9:27:2	none_intransitive:1	مِن:1;عَلَى:1		ب ع د:1;م ن ن:1	1
ت و ب	توب	IV	obj=none_intransitive|prep=مِن|clause=no|cognate=no	1	4:17:12	none_intransitive:1	مِن:1		ق ر ب:1	1
ت ي ه	تي	IV	obj=clitic|prep=بـ|clause=no|cognate=no	1	27:7:14	clitic:1	بـ:1		ش ه ب:1	1
ت ي ه	تي	IV	obj=clitic|prep=مِن;بـ|clause=no|cognate=no	2	20:10:13;28:29:23	clitic:2	مِن:2;بـ:2		ق ب س:1;خ ب ر:1	2
ت ي ه	تي	IV	obj=clitic|prep=مِن;مِن;عَن;عَن|clause=no|cognate=no	1	7:17:3	clitic:1	مِن:2;عَن:2		ب ي ن:1;خ ل ف:1;ي م ن:1;ش م ل:1	1
ت ي ه	تيه	IV	obj=none_intransitive|prep=فِي|clause=no|cognate=no	1	5:26:8	none_intransitive:1	فِي:1		أ ر ض:1	1
ث ب ت	ثبت	CV	obj=explicit|prep=-|clause=no|cognate=no	3	2:250:14;3:147:17;8:12:9	explicit:3		ق د م:2;ل ل ذ:1		3
ث ب ت	ثبت	CV	obj=none_intransitive|prep=-|clause=no|cognate=no	1	8:45:9	none_intransitive:1				1
ث ب ت	ثبت	IV	obj=clitic|prep=-|clause=no|cognate=no	1	8:30:8	clitic:1				1
ث ب ت	ثبت	IV	obj=explicit|prep=-|clause=no|cognate=no	2	16:102:10;47:7:10	explicit:2		ل ل ذ:1;ق د م:1		2
ث ب ت	ثبت	IV	obj=explicit|prep=بـ;فِي;فِي|clause=no|cognate=no	1	14:27:1	explicit:1	فِي:2;بـ:1	ل ل ذ:1	ق و ل:1;ح ي ي:1;أ خ ر:1	1
ث ب ت	ثبت	IV	obj=explicit|prep=بـ|clause=no|cognate=no	3	8:11:26;11:120:9;25:32:14	explicit:3	بـ:3	ف أ د:2;ق د م:1		3
ث ب ت	ثبت	IV	obj=none_absolute|prep=-|clause=no|cognate=no	1	13:39:6	none_absolute:1				1
ث ب ت	ثبت	PV	obj=clitic|prep=-|clause=no|cognate=no	1	17:74:4	clitic:1				1
ث ب ط	ثبط	PV	obj=clitic|prep=-|clause=no|cognate=no	1	9:46:15	clitic:1				1
ث خ ن	أثخن	PV	obj=clitic|prep=-|clause=no|cognate=no	1	47:4:11	clitic:1				1
ث خ ن	ثخن	IV	obj=none_absolute|prep=فِي|clause=no|cognate=no	1	8:67:10	none_absolute:1	فِي:1		أ ر ض:1	1
ث ق ف	ثقف	IV	obj=clitic|prep=-|clause=no|cognate=no	1	60:2:2	clitic:1				1
ث ق ف	ثقف	IV	obj=clitic|prep=فِي|clause=no|cognate=no	1	8:57:3	clitic:1	فِي:1		ح ر ب:1	1
ث ق ف	ثقف	PV	obj=clitic|prep=-|clause=no|cognate=no	2	2:191:4;4:91:32	clitic:2				2
ث ق ف	ثقف	PV_PASS	obj=none_passive|prep=-|clause=no|cognate=no	2	3:112:6;33:61:3	none_passive:2				2
ث ق ل	أثقل	PV	obj=none_intransitive|prep=-|clause=no|cognate=no	1	7:189:25	none_intransitive:1				1
ث ق ل	اثاقل	PV	obj=none_intransitive|prep=إِلَى|clause=no|cognate=no	1	9:38:14	none_intransitive:1	إِلَى:1		أ ر ض:1	1
ث ق ل	ثقل	PV	obj=none_intransitive|prep=-|clause=no|cognate=no	3	7:8:7;23:102:3;101:6:4	none_intransitive:3				3
ث ق ل	ثقل	PV	obj=none_intransitive|prep=فِي|clause=no|cognate=no	1	7:187:17	none_intransitive:1	فِي:1		س م و:1	1
ث م ر	أثمر	PV	obj=none_intransitive|prep=-|clause=no|cognate=no	2	6:99:45;6:141:28	none_intransitive:2				1
ث ن ي	ثن	IV	obj=explicit|prep=-|clause=yes|cognate=no	1	11:5:3	explicit:1		ص د ر:1		1
ث ن ي	ستثن	IV	obj=none_absolute|prep=-|clause=no|cognate=no	1	68:18:3	none_absolute:1				1
ث و ب	أثاب	PV	obj=both|prep=-|clause=no|cognate=no	1	48:18:21	both:1		ف ت ح:1		1
ث و ب	أثاب	PV	obj=both|prep=بـ|clause=yes|cognate=no	1	3:153:14	both:1	بـ:1	غ م م:1	غ م م:1	1
ث و ب	ثاب	PV	obj=both|prep=بـ|clause=no|cognate=no	1	5:85:2	both:1	بـ:1	ج ن ن:1		1
ث و ب	ثوب	PV	obj=explicit|prep=-|clause=no|cognate=no	1	83:36:2	explicit:1				1
ث و ر	أثار	PV	obj=explicit|prep=-|clause=no|cognate=no	1	30:9:19	explicit:1		أ ر ض:1		1
