root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	referent_total	resolution_coverage	dominant_referent	dominant_ratio	agency	referent_entropy	referent_dist	source	batch_count	low_occurrence
ل ع ن	PV_PASS:I	True	3	0	35	0.0	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	2	True
ل غ و	CV:I	True	1	0	3	0.0	BELIEVERS	0.333	human	1.585	"{""BELIEVERS"": 1, ""DISBELIEVERS"": 1, ""HUMANS_GENERIC"": 1}"	legacy	1	True
ل غ و	GERUND	True	9	11	3	0.273	BELIEVERS	0.333	human	1.585	"{""BELIEVERS"": 1, ""DISBELIEVERS"": 1, ""HUMANS_GENERIC"": 1}"	legacy	9	False
ل غ و	NOUN_ACTIVE_PART	True	1	0	3	0.0	BELIEVERS	0.333	human	1.585	"{""BELIEVERS"": 1, ""DISBELIEVERS"": 1, ""HUMANS_GENERIC"": 1}"	legacy	1	True
ل ف ت	IV:IV	True	1	3	1	0.333	SPECIFIC_PERSON	1.0	human	0.0	"{""SPECIFIC_PERSON"": 1}"	legacy	1	True
ل ف ت	IV:VIII	True	2	0	1	0.0	SPECIFIC_PERSON	1.0	human	0.0	"{""SPECIFIC_PERSON"": 1}"	legacy	2	True
ل ف ح	IV:I	True	1	1	1	1.0	NATURE_CREATION	1.0	mixed	0.0	"{""NATURE_CREATION"": 1}"	legacy	1	True
ل ف ظ	IV:I	True	1	1	1	1.0	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 1}"	legacy	1	True
ل ف ي	PV:I	True	1	2	1	0.5	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 1}"	legacy	1	True
ل ف ي	PV:IV	True	1	0	1	0.0	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 1}"	legacy	1	True
ل ق ط	IV:VIII	True	1	2	4	2.0	PROPHET_OTHER	0.75	mixed	0.811	"{""DISBELIEVERS"": 1, ""PROPHET_OTHER"": 3}"	legacy	1	True
ل ق ط	PV:VIII	True	1	0	4	0.0	PROPHET_OTHER	0.75	mixed	0.811	"{""DISBELIEVERS"": 1, ""PROPHET_OTHER"": 3}"	legacy	1	True
ل ق ف	IV:I	True	2	3	2	0.667	ABSTRACT_CONCEPT	0.5	mixed	1.0	"{""ABSTRACT_CONCEPT"": 1, ""NATURE_CREATION"": 1}"	legacy	2	True
ل ق ف	IV:IV	True	1	0	2	0.0	ABSTRACT_CONCEPT	0.5	mixed	1.0	"{""ABSTRACT_CONCEPT"": 1, ""NATURE_CREATION"": 1}"	legacy	1	True
ل ق م	NOUN_PROP	True	2	3	3	1.0	PROPHET_OTHER	1.0	mixed	0.0	"{""PROPHET_OTHER"": 3}"	legacy	1	True
ل ق م	PV:VIII	True	1	0	3	0.0	PROPHET_OTHER	1.0	mixed	0.0	"{""PROPHET_OTHER"": 3}"	legacy	1	True
