qac_root_norm	qac_total_occurrences	matched_occurrences	mapping_status	dominant_frozen_root_norm	dominant_furuq_root_id	dominant_furuq_root_norm	dominant_furuq_source_root_norm	dominant_resolution	dominant_occurrences	targets	status_counts	sample_refs	sample_surfaces
ص ر ف	30	30	unique	ص ر ف	root_000860	ص ر ف	ص ر ف	source_root_norm	30	ص ر ف=>root_000860=>ص ر ف=>ص ر ف=>source_root_norm:30	same_word_same_root:30	2:164:43|3:152:36|6:16:2|6:46:21|6:65:25|6:105:4|7:47:3|7:58:18	تَصْرِيفِ|صَرَفَكُمْ|يُصْرَفْ|نُصَرِّفُ|صُرِفَتْ|سَأَصْرِفُ|ٱنصَرَفُوا۟|صَرَفَ
ص ر م	3	2	unique	ص ر م	root_000861	ص ر م	ص ر م	source_root_norm	2	ص ر م=>root_000861=>ص ر م=>ص ر م=>source_root_norm:2	same_word_same_root:2	68:20:4|68:22:7	ٱلصَّرِيمِ|صَٰرِمِينَ
ص ع د	9	8	unique	ص ع د	root_000862	ص ع د	ص ع د	source_root_norm	8	ص ع د=>root_000862=>ص ع د=>ص ع د=>source_root_norm:8	same_word_same_root:8	4:43:45|5:6:52|6:125:21|18:8:7|18:40:17|35:10:11|72:17:12|74:17:2	صَعِيدًۭا|صَعِيدَاً|يَصَّعَّدُ|يَصْعَدُ|صَعَدًا|صَعُودًا
ص ع ر	1	1	unique	ص ع ر	root_000863	ص ع ر	ص ع ر	source_root_norm	1	ص ع ر=>root_000863=>ص ع ر=>ص ع ر=>source_root_norm:1	same_word_same_root:1	31:18:3	تُصَعِّرْ
ص ع ق	11	6	unique	ص ع ق	root_000864	ص ع ق	ص ع ق	source_root_norm	6	ص ع ق=>root_000864=>ص ع ق=>ص ع ق=>source_root_norm:6	same_word_same_root:6	7:143:41|39:68:6|41:13:7|41:13:9|41:17:13|52:45:8	صَعِقًۭا|صَعِقَ|صَٰعِقَةً|صَٰعِقَةِ|صَٰعِقَةُ|يُصْعَقُونَ
ص غ ر	13	11	unique	ص غ ر	root_000865	ص غ ر	ص غ ر	source_root_norm	11	ص غ ر=>root_000865=>ص غ ر=>ص غ ر=>source_root_norm:11	same_word_same_root:11	2:282:108|6:124:23|7:119:6|9:29:36|9:121:5|10:61:40|17:24:16|18:49:19	صَغِيرًا|صَغَارٌ|صَٰغِرِينَ|صَٰغِرُونَ|صَغِيرَةً|أَصْغَرَ|صَغِيرًۭا|صَغِيرَةًۭ
ص غ و	2	2	unique	ص غ و	root_000866	ص غ و	ص غ و	source_root_norm	2	ص غ و=>root_000866=>ص غ و=>ص غ و=>source_root_norm:2	same_word_same_root:2	6:113:3|66:4:7	تَصْغَىٰ|صَغَتْ
ص ف ح	8	5	unique	ص ف ح	root_000867	ص ف ح	ص ف ح	source_root_norm	5	ص ف ح=>root_000867=>ص ف ح=>ص ف ح=>source_root_norm:5	same_word_same_root:5	5:13:35|15:85:19|15:85:20|43:5:5|43:89:2	ٱصْفَحْ|ٱصْفَحِ|ٱلصَّفْحَ|صَفْحًا
ص ف د	2	2	unique	ص ف د	root_000868	ص ف د	ص ف د	source_root_norm	2	ص ف د=>root_000868=>ص ف د=>ص ف د=>source_root_norm:2	same_word_same_root:2	14:49:7|38:38:5	ٱلْأَصْفَادِ
ص ف ر	5	5	unique	ص ف ر	root_000869	ص ف ر	ص ف ر	source_root_norm	5	ص ف ر=>root_000869=>ص ف ر=>ص ف ر=>source_root_norm:5	same_word_same_root:5	2:69:14|30:51:8|39:21:24|57:20:29|77:33:3	صَفْرَآءُ|مُصْفَرًّا|مُصْفَرًّۭا|مُصْفَرًّۭا|صُفْرٌۭ
ص ف ص ف	1	1	unique	ص ف ص ف	root_000870	ص ف ص ف	ص ف ص ف	source_root_norm	1	ص ف ص ف=>root_000870=>ص ف ص ف=>ص ف ص ف=>source_root_norm:1	same_word_same_root:1	20:106:4	صَفْصَفًۭا
