left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P30330	P30528	0.458667	0.334961	0.509543	0.477763	0.818182	0.666667	0.5	mutual_knn
P34914	P36649	0.458667	0.36281	0.497139	0.464036	0.75	0.666667	0.5	mutual_knn
P39608	P41262	0.458667	0.327802	0.498047	0.511255	0.857143	0.666667	0.5	mutual_knn
P10593	P21979	0.458666	0.408051	0.504443	0.484881	0.5	0.75	0.666667	mutual_knn
P10088	P5533	0.458665	0.291781	0.467033	0.639022	1.0	0.833333	0.6	containment
P21802	P22121	0.458665	0.402243	0.501048	0.522887	0.5	0.666667	0.5	mutual_knn
P25127	P26845	0.458665	0.362852	0.494937	0.452311	0.769231	0.666667	0.5	mutual_knn
P27279	P36754	0.458665	0.336742	0.491429	0.517973	0.833333	0.666667	0.5	mutual_knn
P39206	P41967	0.458665	0.342494	0.473574	0.512923	0.875	0.666667	0.5	mutual_knn
P24432	P26345	0.458664	0.29875	0.50696	0.467905	1.0	0.666667	0.5	mutual_knn
P42918	P43355	0.458664	0.335828	0.460593	0.463334	1.0	0.666667	0.5	mutual_knn
P10786	P18121	0.458662	0.40247	0.501774	0.44787	0.571429	0.75	0.666667	mutual_knn
P30733	P33613	0.458662	0.356788	0.487048	0.443068	0.833333	0.666667	0.5	mutual_knn
P14616	P3743	0.458661	0.381051	0.518677	0.556511	0.5	0.75	0.666667	mutual_knn
P26931	P38167	0.458661	0.310813	0.484983	0.490507	1.0	0.666667	0.5	mutual_knn
P30191	P40678	0.458661	0.358892	0.522334	0.476763	0.666667	0.666667	0.5	mutual_knn
P27618	P43572	0.45866	0.396871	0.499053	0.453995	0.6	0.666667	0.5	mutual_knn
P34409	P39027	0.45866	0.364232	0.473567	0.456743	0.833333	0.666667	0.5	mutual_knn
P32224	P44595	0.458659	0.381251	0.485849	0.503823	0.666667	0.666667	0.5	mutual_knn
P24944	P37371	0.458656	0.360334	0.478925	0.455491	0.833333	0.666667	0.5	mutual_knn
P27473	P34657	0.458655	0.390885	0.487065	0.522841	0.6	0.666667	0.5	mutual_knn
P11635	P13521	0.458654	0.410889	0.511362	0.447769	0.5	0.75	0.666667	mutual_knn
P22642	P39709	0.458654	0.372609	0.514253	0.509911	0.6	0.666667	0.5	mutual_knn
P25477	P30899	0.458654	0.319149	0.480707	0.467888	1.0	0.666667	0.5	mutual_knn
P16746	P17997	0.458653	0.380485	0.488032	0.46624	0.7	0.75	0.666667	mutual_knn
P14225	P19133	0.458652	0.417982	0.505996	0.506044	0.428571	0.75	0.666667	mutual_knn
P18091	P38787	0.458652	0.346167	0.496454	0.45785	0.833333	0.666667	0.5	mutual_knn
P23581	P28295	0.458652	0.399818	0.492741	0.507191	0.555556	0.666667	0.5	mutual_knn
P33843	P43578	0.458652	0.399961	0.519717	0.539114	0.428571	0.666667	0.5	mutual_knn
P2512	P7860	0.458651	0.380483	0.422086	0.522034	0.875	0.714286	0.666667	mutual_knn
