left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C057	C664	0.370822	0.295909	0.3396	0.258602	0.951274	0.553915	0.461128	mutual_knn
C305	C673	0.370793	0.338277	0.297079	0.250304	0.875007	0.460623	0.550779	mutual_knn
C409	C761	0.370726	0.351021	0.289636	0.175701	0.907544	0.496366	0.58869	mutual_knn
C230	C503	0.37062	0.278659	0.360368	0.267271	0.964533	0.530695	0.446945	mutual_knn
C116	C531	0.37053	0.298749	0.28882	0.4069	0.938194	0.453956	0.477245	mutual_knn
C427	C762	0.37043	0.274716	0.311588	0.424288	0.971668	0.552466	0.685361	mutual_knn
C280	C529	0.370409	0.303781	0.301006	0.322387	0.959779	0.469863	0.516013	mutual_knn
C005	C037	0.370392	0.323035	0.276216	0.299602	0.960493	0.449395	0.53372	mutual_knn
C252	C387	0.370339	0.358714	0.272624	0.251997	0.839956	0.525971	0.632035	mutual_knn
C589	C611	0.370267	0.29176	0.307224	0.376074	0.946125	0.522475	0.607988	mutual_knn
C566	C802	0.370122	0.337548	0.291732	0.212183	0.926096	0.454436	0.55511	mutual_knn
C232	C625	0.370031	0.340142	0.245147	0.324824	0.939336	0.406113	0.593794	mutual_knn
C109	C737	0.370023	0.310427	0.283813	0.347721	0.94893	0.462951	0.508514	mutual_knn
C259	C722	0.370005	0.341695	0.245334	0.295181	0.960386	0.405207	0.621247	mutual_knn
C251	C464	0.369887	0.348123	0.199162	0.395995	0.964773	0.335538	0.528495	mutual_knn
C572	C663	0.369718	0.329902	0.284564	0.303651	0.890327	0.443529	0.49943	mutual_knn
C419	C719	0.369608	0.303374	0.344389	0.303982	0.842068	0.556499	0.534967	mutual_knn
C085	C618	0.369466	0.284193	0.348418	0.316085	0.912357	0.534669	0.493408	mutual_knn
C492	C530	0.369348	0.315305	0.270286	0.354324	0.951773	0.454216	0.481099	mutual_knn
C804	C858	0.369347	0.323337	0.298367	0.30312	0.878561	0.483687	0.489374	mutual_knn
C347	C614	0.369328	0.300757	0.255168	0.452738	0.971248	0.409757	0.594474	mutual_knn
C174	C183	0.369154	0.292864	0.314986	0.318116	0.964146	0.505123	0.476821	mutual_knn
C132	C364	0.368806	0.305731	0.275097	0.358726	0.975384	0.462451	0.473602	mutual_knn
C538	C906	0.368801	0.293654	0.311917	0.379452	0.904534	0.493462	0.526463	mutual_knn
C502	C692	0.368704	0.237398	0.3338	0.5544	0.944253	0.567805	0.452158	mutual_knn
C107	C230	0.368528	0.239713	0.321358	0.54117	0.981475	0.487944	0.404711	mutual_knn
C025	C083	0.368474	0.275364	0.289911	0.484768	0.953418	0.507806	0.522801	mutual_knn
C190	C377	0.368411	0.370806	0.192425	0.323661	0.929146	0.331329	0.556213	mutual_knn
C403	C527	0.368386	0.312989	0.247387	0.44966	0.927096	0.422799	0.56903	mutual_knn
C699	C787	0.368327	0.306836	0.29258	0.30113	0.97022	0.458299	0.531026	mutual_knn
C103	C822	0.368317	0.263422	0.33583	0.400145	0.958425	0.535452	0.760827	mutual_knn
